firstname,lastname,fullname,birthday,accountbalance
Jacob,Test,mg,02/02/1921,-15
Jacob1,Test,mg,02/02/1922,0
Jacob2,Test,mg,02/02/1923,45
Jacob3,Test,mg,02/02/1931,-150
Jacob4,Test,mg,02/02/1941,32
Jacob5,Test,mg,02/02/1951,-20
Jacob6,Test,mg,02/02/1961,1000
Jacob7,Test,mg,02/02/1971,-100
Jacob8,Test,mg,02/02/1972,56
Jacob9,Test,mg,02/02/1984,-1500
Jacob10,Test,mg,02/02/1990,151
Jacob11,Test,mg,02/02/1910,1000
Jacob12,Test,mg,02/02/1850,-4555
Jacob163,Test,mg,02/02/1900,898
Jacob14,Test,mg,02/02/2021,5454
Jacob15,Test,mg,02/02/2022,96968
Jacob163,Test,mg,02/02/1951,656
Jacob17,Test,mg,02/02/1921,0
